0:00	1:00	2:00	3:00	4:00	5:00	6:00	7:00	8:00	wake up9:00	eat breakfast10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00	0:00	1:00	2:00	3:00	4:00	5:00	6:00	7:00	8:00	wake up9:00	eat breakfast10:00	11:00	12:00	eat lunch13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00	0:00	
1:00	
2:00	
3:00	
4:00	
5:00	
6:00	eat dinner
7:00	
8:00	eat breakfast
9:00	
10:00	
11:00	
12:00	eat lunch
13:00	
14:00	
15:00	
16:00	
17:00	
18:00	
19:00	
20:00	
21:00	
22:00	
23:00	
